"id","location_srs","location_x","location_y","operator","elevation","slope","aspect","adm1_name","country","actively_saved","actively_saved_on_year","actively_saved_on_month","actively_saved_on_day","plot_file","cover","confidence","map_code"
11,"EPSG:4326",103.947479491731,14.2508411762875,"grp01_sophyra",58,0.000582734379088457,2.34391873220678,"Otdar Mean Chey","Cambodia","true",2016,4,5,"pts_grp_1.csv","OO","true","OO"
14,"EPSG:4326",104.172835083437,13.7515820541808,"grp01_sophyra",101,0.00231030677594984,3.20167494363341,"Siemr�ab","Cambodia","true",2016,4,5,"pts_grp_1.csv","FF_prsv","true","FF_prsv"
49,"EPSG:4326",105.281571900149,13.141111354501,"grp00_remi",57,0.0164562853757117,5.3580323772169,"K�mp�ng Thum","Cambodia","true",2016,4,6,"pts_grp_1.csv","FF_prsv","true","FF_prsv"
71,"EPSG:4326",103.960337020409,14.210984070945,"grp01_sophyra",55,0.00357058174222599,3.29794731346865,"Otdar Mean Chey","Cambodia","true",2016,4,6,"pts_grp_1.csv","FO_othr","true","FO_othr"
127,"EPSG:4326",104.26525967227,12.9469130283449,"grp01_sophyra",9,0.000193697336819192,2.34668035063704,"Siemr�ab","Cambodia","true",2016,4,5,"pts_grp_1.csv","FF_prsv","true","FF_prsv"
132,"EPSG:4326",105.126291790963,13.7253641161859,"grp01_sophyra",58,0.00224027797859814,3.39186323086217,"Preah Vih�ar","Cambodia","true",2016,4,5,"pts_grp_1.csv","FO_othr","true","FF_prsv"
150,"EPSG:4326",104.382613105077,14.2526995565067,"grp01_sophyra",93,0.00470729338240361,3.7735008195932,"Otdar Mean Chey","Cambodia","true",2016,4,6,"pts_grp_1.csv","FO_othr","true","FO_othr"
159,"EPSG:4326",103.42895244485,14.0315299537041,"grp01_sophyra",28,0.00291218825618137,3.93877200324266,"Otdar Mean Chey","Cambodia","true",2016,4,5,"pts_grp_1.csv","OO","true","OO"
175,"EPSG:4326",105.034664484148,12.9958721514124,"grp01_sophyra",46,0.00445546564508479,3.93660543948671,"K�mp�ng Thum","Cambodia","true",2016,4,6,"pts_grp_1.csv","FO_rubb","true","FO_othr"
177,"EPSG:4326",105.601768545689,12.6801431235063,"grp01_sophyra",72,0.00221734114402952,5.22382927716313,"K�mp�ng Thum","Cambodia","true",2016,4,5,"pts_grp_1.csv","FF_prsv","true","FF_prsv"
187,"EPSG:4326",105.490462354285,12.5025895064948,"grp01_sophyra",68,0.00235027286890515,4.65463798108306,"K�mp�ng Thum","Cambodia","true",2016,4,5,"pts_grp_1.csv","FO_rubb","true","FO_rubb"
199,"EPSG:4326",104.833485645005,13.1800740424084,"grp01_sophyra",87,0.0110195736119074,4.33413630918705,"K�mp�ng Thum","Cambodia","true",2016,4,5,"pts_grp_1.csv","FO_rubb","true","FO_rubb"
203,"EPSG:4326",104.525353797193,14.0782055573396,"grp01_sophyra",86,0.00528589284055354,1.62214575638571,"Preah Vih�ar","Cambodia","true",2016,4,5,"pts_grp_1.csv","FF_prsv","true","FF_prsv"
209,"EPSG:4326",105.311630199543,13.9732612459579,"grp01_sophyra",126,0.00283813629100636,5.98525006476949,"Preah Vih�ar","Cambodia","true",2016,4,5,"pts_grp_1.csv","FF_prsv","true","FF_prsv"
211,"EPSG:4326",103.18094295037,14.3178757121434,"grp01_sophyra",237,0.0528685184078351,2.89197529059366,"Otdar Mean Chey","Cambodia","true",2016,4,6,"pts_grp_1.csv","FO_othr","true","FO_othr"
212,"EPSG:4326",104.09997814165,13.444007350622,"grp01_sophyra",58,0.00754262823222133,4.30559589994888,"Siemr�ab","Cambodia","true",2016,4,6,"pts_grp_1.csv","FF_prsv","true","FF_prsv"
217,"EPSG:4326",103.529599541053,13.5254428522537,"grp01_sophyra",15,0.000554372418876776,1.5707963267949,"Siemr�ab","Cambodia","true",2016,4,5,"pts_grp_1.csv","OO","true","OO"
221,"EPSG:4326",104.031317836384,13.9817202899141,"grp01_sophyra",159,0.00826270140581583,0.938464252774536,"Siemr�ab","Cambodia","true",2016,4,5,"pts_grp_1.csv","FO_rubb","true","FO_rubb"
236,"EPSG:4326",103.574961976051,14.1191191569081,"grp01_sophyra",46,0.00314778556834811,3.27440471080802,"Otdar Mean Chey","Cambodia","true",2016,4,6,"pts_grp_1.csv","OO","true","FO_othr"
249,"EPSG:4326",104.709006319758,13.8812157164974,"grp01_sophyra",65,0.00548969735025092,2.98930417167339,"Preah Vih�ar","Cambodia","true",2016,4,5,"pts_grp_1.csv","FF_prsv","true","FF_prsv"
